year,route1,highpoint,route
1992,S Col-SE Ridge,8850,"BC(23/08,5350m),C1(01/09,6000m),C2(05/09,6400m),C3(14/09,7300m),C4(24/09,7900m),Smt(25/09,01,03/10)"
1992,S Col-SE Ridge,8850,"BC(01/09),C1(05/09,6100m),C2(08/09,6500m),C3(13/09,7300m),C4(23/09,7900m),Smt(04/10)"
1992,S Col-SE Ridge,8850,"BC(02/09,5350m),C1(10/09,6100m),C2(13/09,6100m),C3(18/09,7300m),C4(03/10,7900m),Smt(09/10)"
1992,S Col-SE Ridge,8850,"BC(04/09),C1(08/09,6100m),C2(11/09,6400m),C3(14/09,7300m),C4(24/09,7900m),Smt(07,09/10)"
1992,S Col-SE Ridge,8850,"BC(06/09,5350m),C1(09/09,6100m),C2(12/09,6400m),C3(15/09,7300m),C4(30/09,7900m),Smt(01/10)"
1992,S Col-SE Ridge,8850,"BC(07/09,5350m),C1(09/09,6000m),C2(10/09,6350m),C3(20/09,7250m),C4(27/09,7900m),Smt(28-30/09)"
1992,S Col-SE Ridge,8850,"BC(27/08),C1(01/09,6100m),C2(12/09,6400m),C3(16/09,7300m),C4(24/09,7900m),Smt(09/10)"
1993,S Col-SE Ridge,8850,"BC(05/03,5350m),C1(26/03,6100m),C2(10/04,6500m),C3(17/04,7200m),C4(10/05,7900m),Smt(16/05)"
1993,S Col-SE Ridge,8850,"BC(20/03,5300m),C1(05/04,6100m),C2(08/04,6500m),C3(12/04,7200m),C4(20/04,7900m),Smt(16/05)"
1993,S Col-SE Ridge,8850,"BC(22/03,5350m),C1(03/04,6100m),C2(06/04,6400m0,C3(23/04,7300m),C4(09/05,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(24/03,5350m),C1(06/04,6050m),C2(08/04,6400m),C3(17/04,7300m),C4(09/05,7900m),Smt(10,16/05)"
1993,S Col-SE Ridge,8850,"BC(27/03,5350m),C1(02/04,6050m),C2(08/04,6400m),C3(14/04,7200m),C4(23/04,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(27/03,5300m),C1(06/04,6100m),C2(10/04,6500m),C3(12/04,7400m),C4(04/05,7900m),C5(10/05,8400m),Smt(10,16/05)"
1993,S Col-SE Ridge,8850,"BC(27/03,5350m),C1(09/04,6150m),C2(16/04,6450m),C3(19/04,7200m),C4(09/05,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(20/03,5350m),C1(02/04,6050m),C2(05/04,6500m),C3(07/04,7375m),C4(20/04,7900m),Smt(22/04)"
1993,S Col-SE Ridge,8850,"BC(01/04,5350m),C1(07/04,6100m),C2(10/04,6500m),C3(21/04,7350m),C4(09/05,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(06/04),C1(12/04,6400m),C2(15/04,6860m),C3(07/05,7470m),C4(08/05,7900m),Smt(10,17/05)"
1993,S Col-SE Ridge,8850,"BC(08/04,5350m),C1,C2,C3,C4(20/04,7900m),Smt(10/05)"
1993,S Col-SE Ridge,8850,"BC(15/04,5300m),C1(20/04,6100m),C2(21/04,6500m),C3(29/04,7200m),C4(01/05,7900m),Smt(16-17/05)"
1993,S Col-SE Ridge,8850,"BC(25/08,5350m),C1(31/08,6000m),C2(05/09,6450m),C3(19/09,7150m),C4(06/10,7900m),Smt(07,09/10)"
1993,S Col-SE Ridge,8850,"BC(27/08,5400m),C1(30/08,6000m),C2(05/09,6400m),C3(18/09,7150m),C4(05/10,7900m),Smt(06,09/10)"
1994,S Col-SE Ridge,8850,"BC(15/03,5300m),C1(12/04,6100m),C2(14/04,6500m),C3(22/04,7300m),C4(09/05,7900m),Smt(13/05)"
1994,S Col-SE Ridge,8850,"BC(16/03,5350m),C1(12/04,6100m),C2(14/04,6500m),C3(22/04,7300m),C4(08/05,7900m),Smt(09/05)"
1994,S Col-SE Ridge,8850,"BC(29/03,5350m),C1(03/04,6000m),C2(15/04,6650m),C3(22/04,7200m),C4(08/05,7900m),Smt(09,13/05)"
1994,S Col-SE Ridge,8850,"BC(22/08),C1(06/09,5950m),C2(18/09,6440m),C3(22/09,7100m),C4(25/09,7900m),Smt(11/10)"
1994,S Col-SE Ridge,8850,"BC(27/08),C1(15/09,6000m),C2(18/09,6400m),C3(02/10,7200m),C4(06/10,7900m),Smt(10/10)"
1995,S Col-SE Ridge,8850,"BC(21/03,5350m),C1(12/04,5899m),C2(14/04,6400m),C3(25/04,7300m),C4(06/05,7900m),Smt(07/05)"
1995,S Col-SE Ridge,8850,"BC(13/04,5350m),C1(20/04,5500m),C2(22/04,6650m),C3(25/04,7300m),C4(06/05,7900m),Smt(15/05)"
1996,S Col-SE Ridge,8850,"BC(01/04),C1(06/04,5800m),C2(10/04,6300m),C3(16/04,7200m),C4(09/05,7900m),Smt(10/05)"
1996,S Col-SE Ridge,8850,"BC(03/04,5350m),C1(10/04,5900m),C2(16/04,6500m),C3(22/04,7300m),C4(22/05,7900m),Smt(23/05)"
1996,S Col-SE Ridge,8850,"BC(05/04,5350m),Dep(09/04,6000m),C2(16/04,6500m),C3(07/05,7300m),C4(09/05,7900m),Smt(25/05)"
1996,S Col-SE Ridge,8850,"BC(06/04,5300m),C1(15/04,6300m),C2(14/04,7900m),Smt(23/04)"
1996,S Col-SE Ridge,8850,"BC(07/04,5400m),C1(15/04,6100m),C2(21/04,6450m),C3(28/04,7300m),C4(09/05,7900m),Smt(10/05)"
1996,S Col-SE Ridge,8850,"BC(09/04,5350m),C1(16/04,5900m),C2(18/04,6400m),C3(29/04,7350m),C4(09/05,7900m),Smt(10/05)"
1996,S Col-SE Ridge,8850,"BC(22/08,5350m),C1(05/09,6050m),C2(09/09,6400m),C3(20/09,7300m),C4(10/10,7900m),Smt(11/10)"
1997,S Col-SE Ridge,8850,"BC(19/03,5350m),C1(22/03,6100m),C2(27/03,6500m),C3(06/04,7300m),C4(25/04,7900m),C5(26/04,8500m),Smt(26/04)"
1997,S Col-SE Ridge,8850,"BC(26/03,5400m),C1(13/04,6100m),C2(14/04,6500m),C3(28/04,7500m),C4(22/05,7900m),Smt(23/05)"
1997,S Col-SE Ridge,8850,"BC(02/04),C1(12/04,6000m),C2(21/04,6550m),C3(23/04,7100m),C4(22/05,7900m),Smt(23/05)"
1997,S Col-SE Ridge,8850,"BC(03/04,5350m),ABC(06/04,6100m),C1(09/04,6400m),C2(15/04,7300m),C3(20/05,7900m),Smt(21,23/05)"
1997,S Col-SE Ridge,8850,"BC(05/04,5350),C1(07/04,6000m),C2(13/04,6400m),C3(28/04,7300m),C4(26/05,7900m),Smt(27/05)"
1997,S Col-SE Ridge,8850,"BC(07/04),C1(19/04,6100m),C2(26/04,6400m),C3(27/04,7300m),C4(22/05,7900m),Smt(23/05)"
1997,S Col-SE Ridge,8850,"BC(09/04,5300m),C1(12/04,6100m),C2(16/04,6500m),C3(18/04,7400m),C4(22/05,7900m),Smt(23/05)"
1997,S Col-SE Ridge,8850,"BC(14/04,5350m),C1(20/04,6000m),C2(21/04,6400m),C3(27/04,7200m),C4(23/05,7900m),Smt(25/05)"
1997,S Col-SE Ridge,8850,"BC(03/04,5350m),C1(07/04,6100m),C2(15/04,6400m),C3(24/04,7300m),C4(22/05,7900m),Smt(23,27/05)"
1997,S Col-SE Ridge,8850,"BC(01/05,5350m),C2(06/05,6500m),C4(13/05,7900m),Smt(21,25/05)"
1998,S Col-SE Ridge,8850,"BC(24/03),C2(16/04,6500m),C3(17/05,7400m),C4(18/05,7900m),Smt(25/05)"
1998,S Col-SE Ridge,8850,"BC(25/03,5350m),C1(07/04,6050m),C2(16/04,6400m),C3(30/04,7200m),C4(18/05,7900m),Smt(25/05)"
1998,S Col-SE Ridge,8850,"BC.Sherpas(29/03,5350m),Members.BC(10/04,5350m),C1(17/04,6100m),C2(18/04,6400m),C3(24/04,6700m),C4(18/05,7900m),Smt(20/05)"
1998,S Col-SE Ridge,8850,"BC(03/04),C1(12/04,5945m),C2.Sherpas(14/04,6490m),C2(17/04,7160m),C3(25/04),C4(18/05,7900m),Smt(20,27/05)"
1998,S Col-SE Ridge,8850,"BC(04/04,5400m),C1(08/04,6000m),C2(10/04,6400m),C3(22/04,7350m),C4(18/05,7900m),Smt(26/05)"
1998,S Col-SE Ridge,8850,"BC(06/04,5350m),C1(17/04,6100m),C2(22/04,6500m),C3(30/04,7300m),C4(18/05,7900m),Smt(20/05)"
1998,S Col-SE Ridge,8850,"BC(06/04,5400m),C1(14/04,6000m),C2.ABC(22/04,6400m),C3(25/04,7700m),C4(18/05,7986m),Smt(25/05)"
1998,S Col-SE Ridge,8850,"BC(17/04),C1(23/04,6100m),C2(25/04,6700m),C3(29/04,7315m),C4(19/05,7900m),Smt(20/05)"
1998,S Col-SE Ridge,8850,"BC(18/09,5350m),C2(27/09,6400m),C2(01/10,6400m),C4(16/10,7900m),Smt(17/10)"
1998,S Col-SE Ridge,8850,"BC(06/09,5350m),C1(14/09,6200m),C2(20/09,6500m),C3(13/10,7300m),C4(14/10,7900m),Smt(15/10)"
1999,S Col-SE Ridge,8850,"BC(14/04),C1(16/04,6100m),C2(22/04,6500m),C3(24/04,7300m),C4(03/05,7900m),Smt(05/05)"
1999,S Col-SE Ridge,8850,"BC(04/04,5350m),C1(10/04,6100m),C2(15/04,6500m),C3(24/04,7250m),C4(11/05,7900m),Smt(12/05)"
1999,S Col-SE Ridge,8850,"BC(22/03,5350m),C1(07/04,6100m),C2(09/04,6400m),C3(04/05,7300m),C4(05/05,7900m),Smt(06,26/05)"
1999,S Col-SE Ridge,8850,"BC(29/03,5350m),C1(10/04,6000m),C2(12/04,6350m),C3(25/04,7300m),C4(30/04,7900m),Smt(05,13/05)"
1999,S Col-SE Ridge,8850,"BC(05/04,5350m),C1(10/04,6100m),C2(17/04,6500m),C3(20/04,7100m),C4(03/05,7900m),Smt(12-13/05)"
1999,S Col-SE Ridge,8850,"BC(04/04,5350m),C1(08/04,6100m),C2(13/04,6350m),C3(21/04,7300m),C4(03/05,7900m),Smt(05/05)"
1999,S Col-SE Ridge,8850,"BC(10/04),C1(16/04,6100m),C2(18/04,6500m),C3(25/04,7400m),C4(03/05,7900m),Smt(05/05)"
1999,S Col-SE Ridge,8850,"BC(03/04,5350m),C1(08/04,6100m),C2(09/04,6400m),C3(22/04,7500m),C4(11/05,7900m),Smt(12/05)"
1999,S Col-SE Ridge,8850,"BC(11/04),C1(20/04,6000m),C2(25/04,6400m),C3(11/05,7300m),C4(12/05,7900m),Smt(13/05)"
1999,S Col-SE Ridge,8850,"BC(30/03,5350m),C1(10/04,6100m),C2(11/04,6400m),C3(15/04,7300m),C4(03/05,7900m),Smt(26/05)"
2000,S Col-SE Ridge,8850,"BC(07/04,5300m),C2(23/04,6450m),C3(01/05,7200m),C4(23/05),Smt(24/05)"
2000,S Col-SE Ridge,8850,"BC(12/04,5350m),C1(14/04,6500m),C2(20/04,7900m),Smt(24/05)"
2000,S Col-SE Ridge,8850,"BC(30/03),C1(07/04,5950m),C2(15/04,6400m),C3(14/05,7000m),C4(15/05,7950m),Smt(16/05)"
2000,S Col-SE Ridge,8850,"BC(24/03,5350m),C1(02/04,6100m),C2(11/04,6400m),C3(25/04,7300m),C4(20/05,7986m),Smt(22/05)"
2000,S Col-SE Ridge,8850,"BC(03/04,5300m),C1(07/04,6000m),C2(08/04,6400m),C3(18/04,7300m),C4(13/05,8000m),Smt(16/05)"
2000,S Col-SE Ridge,8850,"BC(05/04,5350m),C1(11/04,6100m),C2(16/04,6500m),C3(01/05,7400m),C4(20/05),Smt(22/05)"
2000,S Col-SE Ridge,8850,"BC(14/04),C1(21/04,6100m),C2(23/04,6445m),C3(03/05,7055m),C4(21/05,7900m),Smt(23/05)"
2000,S Col-SE Ridge,8850,"BC(03/04,5350m),C2(12/04,6300m),C3(7300m),C4(06/05,7900m),Smt(21/05)"
2000,S Col-SE Ridge,8850,"BC(14/04,5350m),C1(19/04,6100m),C2(29/04,6400m),C3(14/05,7300m),C4(15/05,7900m),Smt(24/05)"
2000,S Col-SE Ridge,8850,"BC(01/04,5350m),C1(03/04,6100m),C2(05/04,6400m),C3(17/04,7400m),C4(07/05,7900m),Smt(17,24/05)"
2000,S Col-SE Ridge,8850,"BC(14/04,5350m),C1(21/04,6100m),C2(22/04,6500m),C3(04/05,7300m),C4(17/05,7900m),Smt(18/05)"
2000,S Col-SE Ridge,8850,"BC(01/04,5375m),C1(06/04,5975m),C2(17/04,6500m),C3(20/04,7200m),C4(20/05,8000m),Smt(21/05)"
2000,S Col-SE Ridge,8850,"BC(06/04),C1(15/04),C2(16/04,6350m),C3(13/05,7250m),Smt(17/05)"
2000,S Col-SE Ridge,8850,"BC(01/04),C1(07/04,6100m),C2(14/04,6500m),C3(19/05),C4(20/05,7900m),Smt(22/05)"
2000,S Col-SE Ridge,8850,"BC(05/04,5350m),C1(16-17/04,6400m),C3(25/04,7300m),C4(11/05,7900m),Smt(26/05)"
2000,S Col-SE Ridge,8850,"BC(05/04,5400m),C1(08,11/04,6050m),C2(15/04,6400m),C3(22/04,7300m),C4(29/04,7950m),Smt(16/05)"
2000,S Col-SE Ridge,8850,"BC(05/04,5340m),C1(11/04,6100m),C2(17/04,6400m),C3(29/04,7340m),C4(20/05,7950m),Smt(22/05)"
2000,S Col-SE Ridge,8850,"BC(14/09),C1(19/09,6020m),C2(21/09,6500m),C3(27/09,7300m),C4(06/10,7900m),Smt(07,09/10)"
2000,S Col-SE Ridge,8850,"BC(03/09),C1(17/09,6100m),C2(20/09,6400m),C3(25/09,7300m),C4(03/10,7900m),Smt(04-05/10)"
2000,S Col-SE Ridge,8850,"BC(28/08),C1(17/09,6100m),C2(20/09,6400m),C3(25/09,7300m),C4(03/10,7900m),Smt(04/10)"
2001,S Col-SE Ridge,8850,"BC(05/04),C1,C2(13/04,6400m),C3(22/04,7200m),C4(22/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(09/04),C1(16/04),C2(21/04,6500m),C3(22/05,7400m),C4(22/05,7900m),Smt(24/05)"
2001,S Col-SE Ridge,8850,"BC(06/04,5350m),C1(15/04,6100m),C2(18/04,6475m),C3(13/05,7500m),C4(14/05,7900m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(04/04),C1(12/04,5950m),C2(18/04,6500m),C3(24/04,7500m),C4(23/05,7900m),Smt(24/05)"
2001,S Col-SE Ridge,8850,"BC(07/04,5300m),C1(14/04,6100m),C2(17/04,6400m),C3(23/04,7200m),C4(22/05,7985m),Smt(23/05)"
2001,S Col-SE Ridge,8850,"BC(04/04,5330m),C1(12/04,6035m),C2.ABC(21/04,6550m),C3(02/05,7300m),C4(23/05,8075m),Smt(25/05)"
2001,S Col-SE Ridge,8850,"BC(07/04),C1(18/04,6100m),C2(20/04,6400m),C3(21/04,7350m),C4(22/05,7900m),Smt(23/05)"
